participant_id	session	target	target_audio_id	distractor_audio_id	hit_rate
nft001	1	male	AM-1	KM-1	0.9
nft001	1	female	KM-2	AM-2	1
nft001	2	male	AM-6	KM-6	1
nft001	2	female	KM-3	AM-3	0.9
nft001	3	male	AM-5	KM-5	1
nft001	3	female	KM-4	AM-4	0.9
nft002	1	male	AM-2	KM-2	0.9
nft002	1	female	KM-3	AM-3	1
nft002	2	male	AM-1	KM-1	0.9
nft002	2	female	KM-4	AM-4	0.8
nft002	3	male	AM-6	KM-6	1
nft002	3	female	KM-5	AM-5	1
nft003	1	female	KM-3	AM-3	0.9
nft003	1	male	AM-4	KM-4	1
nft004	1	female	KM-4	AM-4	0.7
nft004	1	male	AM-5	KM-5	0.9
nft004	2	female	KM-3	AM-3	1
nft004	2	male	AM-6	KM-6	0.9
nft004	3	female	KM-2	AM-2	0.9
nft004	3	male	AM-1	KM-1	0.9
nft005	1	male	AM-5	KM-5	1
nft005	1	female	KM-6	AM-6	0.9
nft005	2	male	AM-4	KM-4	0.8
nft005	2	female	KM-1	AM-1	0.9
nft005	3	male	AM-3	KM-3	0.8
nft005	3	female	KM-2	AM-2	1
nft006	1	male	AM-6	KM-6	1
nft006	1	female	KM-1	AM-1	1
nft006	2	male	AM-5	KM-5	1
nft006	2	female	KM-2	AM-2	1
nft006	3	male	AM-4	KM-4	0.9
nft006	3	female	KM-3	AM-3	0.9
nft007	1	female	KM-1	AM-1	1
nft007	1	male	AM-2	KM-2	0.9
nft007	2	female	KM-6	AM-6	1
nft007	2	male	AM-3	KM-3	0.6
nft007	3	female	KM-5	AM-5	1
nft007	3	male	AM-4	KM-4	0.9
nft008	1	female	KM-2	AM-2	1
nft008	1	male	AM-3	KM-3	0.8
nft008	2	female	KM-1	AM-1	1
nft008	2	male	AM-4	KM-4	1
nft008	3	female	KM-6	AM-6	1
nft008	3	male	AM-5	KM-5	1
nft009	1	male	AM-3	KM-3	1
nft009	1	female	KM-4	AM-4	1
nft009	2	male	AM-2	KM-2	1
nft009	2	female	KM-5	AM-5	1
nft009	3	male	AM-1	KM-1	0.8
nft009	3	female	KM-6	AM-6	0.9
nft010	1	male	AM-4	KM-4	0.9
nft010	1	female	KM-5	AM-5	0.9
nft010	2	male	AM-3	KM-3	0.7
nft010	2	female	KM-6	AM-6	0.9
nft010	3	male	AM-2	KM-2	0.9
nft010	3	female	KM-1	AM-1	0.8
nft011	1	female	KM-5	AM-5	1
nft011	1	male	AM-6	KM-6	1
nft011	2	female	KM-4	AM-4	1
nft011	2	male	AM-1	KM-1	0.8
nft011	3	female	KM-3	AM-3	0.9
nft011	3	male	AM-2	KM-2	1
nft012	1	female	KM-6	AM-6	0.8
nft012	1	male	AM-1	KM-1	0.8
nft012	2	female	KM-5	AM-5	1
nft012	2	male	AM-2	KM-2	0.9
nft012	3	female	KM-4	AM-4	1
nft012	3	male	AM-3	KM-3	0.8
