Subject ID	Session Number	Trial	Male Voice	Female Voice
1	1	1	AM-1	KM-1
1	1	2	AM-2	KM-2
1	2	1	AM-6	KM-6
1	2	2	AM-3	KM-3
1	3	1	AM-5	KM-5
1	3	2	AM-4	KM-4
2	1	1	AM-2	KM-2
2	1	2	AM-3	KM-3
2	2	1	AM-1	KM-1
2	2	2	AM-4	KM-4
2	3	1	AM-6	KM-6
2	3	2	AM-5	KM-5
3	1	1	AM-3	KM-3
3	1	2	AM-4	KM-4
3	2	1	AM-2	KM-2
3	2	2	AM-5	KM-5
3	3	1	AM-1	KM-1
3	3	2	AM-6	KM-6
4	1	1	AM-4	KM-4
4	1	2	AM-5	KM-5
4	2	1	AM-3	KM-3
4	2	2	AM-6	KM-6
4	3	1	AM-2	KM-2
4	3	2	AM-1	KM-1
5	1	1	AM-5	KM-5
5	1	2	AM-6	KM-6
5	2	1	AM-4	KM-4
5	2	2	AM-1	KM-1
5	3	1	AM-3	KM-3
5	3	2	AM-2	KM-2
6	1	1	AM-6	KM-6
6	1	2	AM-1	KM-1
6	2	1	AM-5	KM-5
6	2	2	AM-2	KM-2
6	3	1	AM-4	KM-4
6	3	2	AM-3	KM-3
